id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamKit;value_PlayerPosition;value_Captain;value_Involved;value_Resume;value_JerseyNumber;value_TeamPlayerFormation;value_TeamFormation;value_DirectionOfPlay;value_KickOff;value_PassEndX;value_Angle;value_PassEndY;value_Length;value_Zone;value_Chipped;value_LongBall;value_IntentionalAssist;value_Assist;value_Right;value_BigChance;value_GoalmouthZ;value_RegularPlay;value_GkY;value_LeftFooted;value_Assisted;value_RelatedEventId;value_GoalmouthY;value_GkX;value_SmallBoxCentre;value_NextEventGoalKick;value_OppositeRelatedEventId;value_NotVisible;value_Low;value_GoalKick;value_Direct;value_Foul;value_Offensive;value_AttemptedTackle;value_Defensive;value_FreeKickTaken;value_BlockedPass;value_NextEventThrowIn;value_ThrowIn;value_HeadPass;value_FlickOn;value_Standing;value_IntendedTackleTarget;value_Launch;value_OutOfPlay;value_Overrun;value_SwitchOfPlay;value_IndividualPlay;value_CloseRightAndHigh;value_OutOfBoxCentre;value_NotAssisted;value_DeletedEventType;value_BlockedX;value_RightFooted;value_BlockedY;value_LowLeft;value_ParriedSafe;value_Hands;value_GkKickFromHands;value_Cross;value_CloseHigh;value_ThrowInSetPiece;value_LayOff;value_ShirtPull/Holding;value_KeeperThrow;value_FirstTouch;value_Head;value_CloseRight;value_Indirect;value_DangerousPlay;value_YellowCard;value_RecklessOffence;value_Handball;value_HighCentre;value_FreeKick;value_OverArm;value_TacticalFoul;value_SetPiece;value_BoxCentre;value_Left;value_LeadingToAttempt;value_HighLeft;value_RelatedError1Id;value_Collected;value_GoalShotGameClock;value_GoalShotTimestamp;value_LowRight;value_Dissent;value_AdvantagePlayed;value_Injury;value_InjuredPlayerId;value_High;value_BoxLeft;value_HitWoodwork;value_BoxRight;value_OutSwinger;value_CornerTaken;value_SixYardBlocked;value_FromCorner;value_Blocked;value_DefBlock;value_Minutes;value_HighRight;value_EndType;value_Tactical;value_DetailedPositionId;value_PositionSideId;value_FormationSlot;value_InSwinger;value_PlayersCaughtOffside;value_Review;value_VarDelay;value_RefereeDelay;value_AwaitingOfficial'SDecision;value_ReviewedEventId;value_RefereeDecisionConfirmed;value_Var(Red)CardUpgrade;value_HighClaim;value_LeadingToGoal;value_BlockedCross;value_NotPastGoalLine;value_OverhitCross;value_LowCentre;value_KeeperTouched;value_BoxDeepLeft;value_TimeWasting;value_35Centre;value_OtherReason;value_RefereeStop;value_VarPenaltyNotAwarded;value_GkHoof;value_FantasyAssistType;value_FantasyAssistTeam;value_FantasyAssistedBy;value_Volley;value_FantasyAssistId;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2902427699;1;34;16;0;0;11oyltk0f22f5r7hnfiwxw8bj;1;0,0;0,0;2026-02-21T12:17:26.165Z;2026-02-21T12:56:49Z;[{'id': 6218124043, 'qualifierId': 197, 'value': '32160'}, {'id': 6217984521, 'qualifierId': 44, 'value': '1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 6217984529, 'qualifierId': 194, 'value': '979fmduuxdrmggx9sgmx88qvo'}, {'id': 6217984519, 'qualifierId': 30, 'value': 'j83t2s1wwic2hs6zyagmac8a, 1cjtzcg2nj8lo1vlus08ybs2d, 4w4298f5z9sf5ued0k91g6bys, bro2i8tx9lgg8duqch7yvjeac, dfg04udojmtob2bjv925yglck, b3pwhedfzplkesy9qek3q6o7o, 979fmduuxdrmggx9sgmx88qvo, 1zpv6qme4738z1ax1jqd9u2ok, 6lg9kn5yx0hlyccpecvm8f1n8, 7b4egz3925hziv29lg67zc7ze, 5nah6vofjfm3wniqdxs12ntg, dvmz5q4wuu72ecdivv45npfkk, 1fsulht7dnofsadigjldqruqy, dq5zuyoxh63kkhqnfhuuy5ega, 9hrvt1jjdpclohrvo998siane, 71n7sy7gjeeek5y3f0jhzhj6y, 6k04sqf6s8wzxg91wl6bn7x1w, dig6il3224ssjooy9p9pcg6hh, e5zn19jfdwtxnigzi0txad3sa, e2bontpwj0782dhv9umxvh82c, 870uyn4gxpwriyqz7nfjue42c'}, {'id': 6217984531, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 6217984523, 'qualifierId': 59, 'value': '13, 11, 12, 4, 8, 23, 10, 5, 17, 14, 25, 2, 3, 6, 7, 15, 16, 20, 22, 27, 30'}, {'id': 6217984527, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 6217984525, 'qualifierId': 130, 'value': '11'}];;;;;8c2dsd3xcpqv0z0j4g3nag8pg;Team set up;32160,0;;;;;;;11,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11oyltk0f22f5r7hnfiwxw8bj;Logroño;home;;;;;;;;;0;0;0;0;Badalona;0;;
2902428309;1;34;16;0;0;e7p3lxg97gac51s71hotzi0a5;1;0,0;0,0;2026-02-21T12:18:32.548Z;2026-02-21T15:06:50Z;[{'id': 6217987853, 'qualifierId': 44, 'value': '1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5'}, {'id': 6217987857, 'qualifierId': 130, 'value': '12'}, {'id': 6217987851, 'qualifierId': 30, 'value': 'd1iaa35qeww3me6qcyisvlsh6, 5z6z0sw5jlr432mdo2yu5riay, ahmylmsg9wyiax33v6jwuj9qs, 52kdiaya57yaisoil0k9ss0oa, b6z0orwdesae508226mhd6sd0, 31q50ese977zfgiwi9bc1ehre, avhw3o6tm33ptddzgwfsqod4a, uw9iyklqljuminu89utfq295, 5qvgs8yefgkayj9yt1kidkcfd, du4sd3yhhb3avedd8yzjd6dey, 3uj4zixqbp5ahu9etu4fl714a, ce1zk073ln0q1ek1jhghi7gno, 81i38mlhudr96pdrchvwxh7ft, b04zkjwz0wvqsxlrvf8ulcnvt, 4npi8qi5wocscvabl4xlompec, c7ybrnt131jx4z31cfo6bx4a, 8gowfvsn9a69nyzppubue2d3p'}, {'id': 6217987859, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0'}, {'id': 6217987855, 'qualifierId': 59, 'value': '1, 16, 7, 4, 40, 20, 11, 19, 10, 18, 6, 26, 8, 14, 17, 21, 24'}, {'id': 6218123821, 'qualifierId': 197, 'value': '32060'}, {'id': 6217987861, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 6218059747, 'qualifierId': 194, 'value': '52kdiaya57yaisoil0k9ss0oa'}];;;;;8c2dsd3xcpqv0z0j4g3nag8pg;Team set up;32060,0;;;;;;;12,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;e7p3lxg97gac51s71hotzi0a5;Badalona;away;;;;;;;;;0;0;0;0;Logroño;0;;
2902455839;2;32;1;0;0;e7p3lxg97gac51s71hotzi0a5;1;0,0;0,0;2026-02-21T13:00:20.546Z;2026-02-21T13:00:21Z;[{'id': 6218135275, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;8c2dsd3xcpqv0z0j4g3nag8pg;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;e7p3lxg97gac51s71hotzi0a5;Badalona;away;;;;;;;;;0;0;0;0;Logroño;0;;
2902455841;2;32;1;0;0;11oyltk0f22f5r7hnfiwxw8bj;1;0,0;0,0;2026-02-21T13:00:20.546Z;2026-02-21T13:00:20Z;[{'id': 6218135277, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;8c2dsd3xcpqv0z0j4g3nag8pg;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11oyltk0f22f5r7hnfiwxw8bj;Logroño;home;;;;;;;;;0;0;0;0;Badalona;0;;
2902455885;3;1;1;0;0;11oyltk0f22f5r7hnfiwxw8bj;1;50,0;50,0;2026-02-21T13:00:20.554Z;2026-02-21T13:00:23Z;[{'id': 6218135499, 'qualifierId': 279, 'value': 'S'}, {'id': 6218135491, 'qualifierId': 140, 'value': '24.5'}, {'id': 6218135497, 'qualifierId': 213, 'value': '3.19'}, {'id': 6218135493, 'qualifierId': 141, 'value': '48.2'}, {'id': 6218135495, 'qualifierId': 212, 'value': '26.8'}, {'id': 6218135489, 'qualifierId': 56, 'value': 'Back'}];6lg9kn5yx0hlyccpecvm8f1n8;F. Mawete;;;8c2dsd3xcpqv0z0j4g3nag8pg;Pass;;;;;;;;;;;24,5;3,19;48,2;26,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11oyltk0f22f5r7hnfiwxw8bj;Logroño;home;24,5;48,2;;;;;;;0;0;0;0;Badalona;0;FW;1,0
2902455907;4;1;1;0;2;11oyltk0f22f5r7hnfiwxw8bj;1;24,3;48,2;2026-02-21T13:00:23.450Z;2026-02-21T13:00:25Z;[{'id': 6218135635, 'qualifierId': 141, 'value': '21.6'}, {'id': 6218135633, 'qualifierId': 140, 'value': '25.6'}, {'id': 6218135637, 'qualifierId': 212, 'value': '18.1'}, {'id': 6218135631, 'qualifierId': 56, 'value': 'Back'}, {'id': 6218135639, 'qualifierId': 213, 'value': '4.79'}];dfg04udojmtob2bjv925yglck;Marta Masferrer;;;8c2dsd3xcpqv0z0j4g3nag8pg;Pass;;;;;;;;;;;25,6;4,79;21,6;18,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11oyltk0f22f5r7hnfiwxw8bj;Logroño;home;25,6;21,6;;;;;;;0;0;0;2;Badalona;2;DC;1,0
2902455937;5;1;1;0;4;11oyltk0f22f5r7hnfiwxw8bj;1;25,4;15,9;2026-02-21T13:00:25.413Z;2026-02-21T13:00:28Z;[{'id': 6218135789, 'qualifierId': 140, 'value': '22.3'}, {'id': 6218135787, 'qualifierId': 56, 'value': 'Back'}, {'id': 6218135797, 'qualifierId': 213, 'value': '1.72'}, {'id': 6218135793, 'qualifierId': 212, 'value': '21.2'}, {'id': 6218135791, 'qualifierId': 141, 'value': '46.7'}];b3pwhedfzplkesy9qek3q6o7o;Rebeca Costa;;;8c2dsd3xcpqv0z0j4g3nag8pg;Pass;;;;;;;;;;;22,3;1,72;46,7;21,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11oyltk0f22f5r7hnfiwxw8bj;Logroño;home;22,3;46,7;;;;;;;0;0;0;4;Badalona;4;DC;1,0
2902456011;6;1;1;0;7;11oyltk0f22f5r7hnfiwxw8bj;1;22,1;48,8;2026-02-21T13:00:28.182Z;2026-02-21T13:00:33Z;[{'id': 6218136217, 'qualifierId': 56, 'value': 'Back'}, {'id': 6218136221, 'qualifierId': 141, 'value': '77.2'}, {'id': 6218136223, 'qualifierId': 212, 'value': '19.4'}, {'id': 6218136219, 'qualifierId': 140, 'value': '23.8'}, {'id': 6218136225, 'qualifierId': 213, 'value': '1.48'}];dfg04udojmtob2bjv925yglck;Marta Masferrer;;;8c2dsd3xcpqv0z0j4g3nag8pg;Pass;;;;;;;;;;;23,8;1,48;77,2;19,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11oyltk0f22f5r7hnfiwxw8bj;Logroño;home;23,8;77,2;;;;;;;0;0;0;7;Badalona;7;DC;1,0
2902456113;7;1;1;0;12;11oyltk0f22f5r7hnfiwxw8bj;1;24,5;74,1;2026-02-21T13:00:32.919Z;2026-02-21T13:00:40Z;[{'id': 6218136743, 'qualifierId': 155}, {'id': 6218136747, 'qualifierId': 140, 'value': '83.2'}, {'id': 6218136755, 'qualifierId': 1}, {'id': 6218136749, 'qualifierId': 141, 'value': '87.4'}, {'id': 6218136745, 'qualifierId': 56, 'value': 'Left'}, {'id': 6218136751, 'qualifierId': 212, 'value': '62.3'}, {'id': 6218136753, 'qualifierId': 213, 'value': '0.15'}];bro2i8tx9lgg8duqch7yvjeac;Iria Castro;;;8c2dsd3xcpqv0z0j4g3nag8pg;Pass;;;;;;;;;;;83,2;0,15;87,4;62,3;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11oyltk0f22f5r7hnfiwxw8bj;Logroño;home;83,2;87,4;;;;;;;0;0;0;12;Badalona;12;DC;1,0
2902456305;8;1;1;0;19;11oyltk0f22f5r7hnfiwxw8bj;1;91,7;67,8;2026-02-21T13:00:39.957Z;2026-02-21T13:01:28Z;[{'id': 6218137869, 'qualifierId': 141, 'value': '46.9'}, {'id': 6218137867, 'qualifierId': 140, 'value': '94.3'}, {'id': 6218140931, 'qualifierId': 154}, {'id': 6218137865, 'qualifierId': 56, 'value': 'Center'}, {'id': 6218140929, 'qualifierId': 210, 'value': '13'}, {'id': 6218137873, 'qualifierId': 213, 'value': '4.90'}, {'id': 6218137871, 'qualifierId': 212, 'value': '14.5'}];5nah6vofjfm3wniqdxs12ntg;S. Prat;1,0;;8c2dsd3xcpqv0z0j4g3nag8pg;Pass;;;;;;;;;;;94,3;4,9;46,9;14,5;;;;1,0;13,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11oyltk0f22f5r7hnfiwxw8bj;Logroño;home;94,3;46,9;;;;;;;0;0;0;19;Badalona;19;ML;1,0
2902456311;9;13;1;0;21;11oyltk0f22f5r7hnfiwxw8bj;1;94,3;46,9;2026-02-21T13:00:42.528Z;2026-02-21T13:01:28Z;[{'id': 6218140987, 'qualifierId': 75}, {'id': 6218141001, 'qualifierId': 214}, {'id': 6218140991, 'qualifierId': 154}, {'id': 6218140999, 'qualifierId': 103, 'value': '11.1'}, {'id': 6218137897, 'qualifierId': 56, 'value': 'Center'}, {'id': 6218137893, 'qualifierId': 22}, {'id': 6218141005, 'qualifierId': 231, 'value': '51.3'}, {'id': 6218140179, 'qualifierId': 72}, {'id': 6218140989, 'qualifierId': 29}, {'id': 6218140993, 'qualifierId': 55, 'value': '8'}, {'id': 6218140997, 'qualifierId': 102, 'value': '40.7'}, {'id': 6218141003, 'qualifierId': 230, 'value': '99.0'}, {'id': 6218137895, 'qualifierId': 16}];6lg9kn5yx0hlyccpecvm8f1n8;F. Mawete;;;8c2dsd3xcpqv0z0j4g3nag8pg;Miss;;;;;;;;;;;;;;;;;;1,0;;1,0;1,0;11,1;1,0;51,3;1,0;1,0;8,0;40,7;99,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11oyltk0f22f5r7hnfiwxw8bj;Logroño;home;;;;;40,7;11.1;8,0;5nah6vofjfm3wniqdxs12ntg;0;0;0;21;Badalona;21;FW;1,0
2902456781;3;5;1;0;24;e7p3lxg97gac51s71hotzi0a5;1;-1,4;59,4;2026-02-21T13:00:44.641Z;2026-02-21T13:57:07Z;[{'id': 6218140495, 'qualifierId': 56, 'value': 'Back'}, {'id': 6218140497, 'qualifierId': 346}, {'id': 6218403355, 'qualifierId': 233, 'value': '10'}];du4sd3yhhb3avedd8yzjd6dey;L. Chamorro;;;8c2dsd3xcpqv0z0j4g3nag8pg;Out;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;10,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;e7p3lxg97gac51s71hotzi0a5;Badalona;away;;;;;;;;;0;0;0;24;Logroño;24;FW;1,0
2902456709;10;5;1;0;24;11oyltk0f22f5r7hnfiwxw8bj;0;101,4;40,6;2026-02-21T13:00:44.641Z;2026-02-21T13:57:07Z;[{'id': 6218140127, 'qualifierId': 346}, {'id': 6218140125, 'qualifierId': 56, 'value': 'Center'}, {'id': 6218403373, 'qualifierId': 233, 'value': '3'}];6lg9kn5yx0hlyccpecvm8f1n8;F. Mawete;;;8c2dsd3xcpqv0z0j4g3nag8pg;Out;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,0;3,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11oyltk0f22f5r7hnfiwxw8bj;Logroño;home;;;;;;;;;0;0;0;24;Badalona;24;FW;1,0
2902456815;4;1;1;1;4;e7p3lxg97gac51s71hotzi0a5;1;4,5;59,1;2026-02-21T13:01:24.800Z;2026-02-21T13:49:56Z;[{'id': 6218140761, 'qualifierId': 189}, {'id': 6218140675, 'qualifierId': 56, 'value': 'Back'}, {'id': 6218140681, 'qualifierId': 212, 'value': '10.2'}, {'id': 6218140683, 'qualifierId': 213, 'value': '5.19'}, {'id': 6218140687, 'qualifierId': 237}, {'id': 6218140673, 'qualifierId': 124}, {'id': 6218140677, 'qualifierId': 140, 'value': '9.0'}, {'id': 6218140679, 'qualifierId': 141, 'value': '45.8'}];b6z0orwdesae508226mhd6sd0;Nerea Carmona;;;8c2dsd3xcpqv0z0j4g3nag8pg;Pass;;;;;;;;;;;9,0;5,19;45,8;10,2;;;;;;;;;;;;;;;;;;;1,0;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;e7p3lxg97gac51s71hotzi0a5;Badalona;away;9,0;45,8;;;;;;;0;0;1;4;Logroño;64;DC;1,0
2902456869;5;1;1;1;6;e7p3lxg97gac51s71hotzi0a5;1;9,0;45,8;2026-02-21T13:01:27.383Z;2026-02-21T13:01:28Z;[{'id': 6218140963, 'qualifierId': 213, 'value': '5.15'}, {'id': 6218140957, 'qualifierId': 140, 'value': '11.7'}, {'id': 6218140959, 'qualifierId': 141, 'value': '37.0'}, {'id': 6218140961, 'qualifierId': 212, 'value': '6.6'}, {'id': 6218140955, 'qualifierId': 56, 'value': 'Back'}];d1iaa35qeww3me6qcyisvlsh6;María Valenzuela;;;8c2dsd3xcpqv0z0j4g3nag8pg;Pass;;;;;;;;;;;11,7;5,15;37,0;6,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;e7p3lxg97gac51s71hotzi0a5;Badalona;away;11,7;37,0;;;;;;;0;0;1;6;Logroño;66;GK;1,0
2902456937;6;1;1;1;8;e7p3lxg97gac51s71hotzi0a5;1;11,7;37,0;2026-02-21T13:01:28.727Z;2026-02-21T13:50:10Z;[{'id': 6218141315, 'qualifierId': 212, 'value': '36.1'}, {'id': 6218141317, 'qualifierId': 213, 'value': '6.08'}, {'id': 6218141313, 'qualifierId': 141, 'value': '26.4'}, {'id': 6218141319, 'qualifierId': 1}, {'id': 6218141311, 'qualifierId': 140, 'value': '45.4'}, {'id': 6218141309, 'qualifierId': 56, 'value': 'Back'}];31q50ese977zfgiwi9bc1ehre;Ana González;;;8c2dsd3xcpqv0z0j4g3nag8pg;Pass;;;;;;;;;;;45,4;6,08;26,4;36,1;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;e7p3lxg97gac51s71hotzi0a5;Badalona;away;45,4;26,4;;;;;;;0;0;1;8;Logroño;68;DC;1,0
2902456943;7;4;1;1;11;e7p3lxg97gac51s71hotzi0a5;1;37,6;23,4;2026-02-21T13:01:32.312Z;2026-02-21T13:50:20Z;[{'id': 6218141355, 'qualifierId': 152}, {'id': 6218141351, 'qualifierId': 13}, {'id': 6218141359, 'qualifierId': 286}, {'id': 6218141353, 'qualifierId': 56, 'value': 'Back'}, {'id': 6218141357, 'qualifierId': 265}, {'id': 6218141807, 'qualifierId': 233, 'value': '11'}];avhw3o6tm33ptddzgwfsqod4a;Elena Julve;;;8c2dsd3xcpqv0z0j4g3nag8pg;Foul;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11,0;;;;1,0;1,0;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;e7p3lxg97gac51s71hotzi0a5;Badalona;away;;;;;;;;;0;0;1;11;Logroño;71;MC;1,0
2902457015;11;4;1;1;11;11oyltk0f22f5r7hnfiwxw8bj;0;62,4;76,6;2026-02-21T13:01:32.313Z;2026-02-21T13:50:21Z;[{'id': 6218141789, 'qualifierId': 56, 'value': 'Center'}, {'id': 6218141787, 'qualifierId': 13}, {'id': 6218141795, 'qualifierId': 285}, {'id': 6218141793, 'qualifierId': 265}, {'id': 6218141839, 'qualifierId': 233, 'value': '7'}, {'id': 6218141791, 'qualifierId': 152}];bro2i8tx9lgg8duqch7yvjeac;Iria Castro;;;8c2dsd3xcpqv0z0j4g3nag8pg;Foul;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7,0;;;;1,0;1,0;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11oyltk0f22f5r7hnfiwxw8bj;Logroño;home;;;;;;;;;0;0;1;11;Badalona;71;DC;1,0
2902457093;8;1;1;1;19;e7p3lxg97gac51s71hotzi0a5;1;31,0;44,0;2026-02-21T13:01:39.551Z;2026-02-21T13:01:41Z;[{'id': 6218142175, 'qualifierId': 141, 'value': '72.3'}, {'id': 6218142179, 'qualifierId': 213, 'value': '1.56'}, {'id': 6218142171, 'qualifierId': 56, 'value': 'Back'}, {'id': 6218142173, 'qualifierId': 140, 'value': '31.2'}, {'id': 6218142177, 'qualifierId': 212, 'value': '19.2'}, {'id': 6218142167, 'qualifierId': 5}, {'id': 6218142169, 'qualifierId': 152}];b6z0orwdesae508226mhd6sd0;Nerea Carmona;;;8c2dsd3xcpqv0z0j4g3nag8pg;Pass;;;;;;;;;;;31,2;1,56;72,3;19,2;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;e7p3lxg97gac51s71hotzi0a5;Badalona;away;31,2;72,3;;;;;;;0;0;1;19;Logroño;79;DC;1,0
2902457173;9;1;1;1;20;e7p3lxg97gac51s71hotzi0a5;1;31,0;71,2;2026-02-21T13:01:41.232Z;2026-02-21T13:01:46Z;[{'id': 6218142639, 'qualifierId': 213, 'value': '0.73'}, {'id': 6218142631, 'qualifierId': 141, 'value': '90.9'}, {'id': 6218142623, 'qualifierId': 56, 'value': 'Back'}, {'id': 6218142627, 'qualifierId': 140, 'value': '45.3'}, {'id': 6218142635, 'qualifierId': 212, 'value': '20.1'}];52kdiaya57yaisoil0k9ss0oa;Sonia Majarín;;;8c2dsd3xcpqv0z0j4g3nag8pg;Pass;;;;;;;;;;;45,3;0,73;90,9;20,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;e7p3lxg97gac51s71hotzi0a5;Badalona;away;45,3;90,9;;;;;;;0;0;1;20;Logroño;80;DC;1,0
2902457203;10;1;1;1;26;e7p3lxg97gac51s71hotzi0a5;0;61,0;89,0;2026-02-21T13:01:46.823Z;2026-02-21T13:01:47Z;[{'id': 6218142721, 'qualifierId': 141, 'value': '75.4'}, {'id': 6218142717, 'qualifierId': 56, 'value': 'Center'}, {'id': 6218142723, 'qualifierId': 212, 'value': '19.8'}, {'id': 6218142719, 'qualifierId': 140, 'value': '77.7'}, {'id': 6218142725, 'qualifierId': 213, 'value': '5.80'}];5qvgs8yefgkayj9yt1kidkcfd;E. Banini;;;8c2dsd3xcpqv0z0j4g3nag8pg;Pass;;;;;;;;;;;77,7;5,8;75,4;19,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;e7p3lxg97gac51s71hotzi0a5;Badalona;away;77,7;75,4;;;;;;;0;0;1;26;Logroño;86;FW;1,0
