id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Resume;value_Captain;value_TeamFormation;value_TeamPlayerFormation;value_PlayerPosition;value_Involved;value_JerseyNumber;value_TeamKit;value_DirectionOfPlay;value_PassEndY;value_PassEndX;value_Zone;value_Length;value_Angle;value_KickOff;value_LongBall;value_Launch;value_OppositeRelatedEventId;value_NextEventThrowIn;value_ThrowIn;value_Defensive;value_Offensive;value_HeadPass;value_Head;value_Foul;value_Direct;value_Shove/Push;value_FreeKickTaken;value_Chipped;value_IntendedTackleTarget;value_OutOfPlay;value_NotVisible;value_Standing;value_Cross;value_BlockedPass;value_BlockedCross;value_LeadingToAttempt;value_NotAssisted;value_RightFooted;value_BoxRight;value_High;value_RelatedError1Id;value_GkX;value_IndividualPlay;value_BigChance;value_RegularPlay;value_GkY;value_GoalmouthZ;value_GoalmouthY;value_NextEventGoalKick;value_GoalKick;value_AttemptedTackle;value_Indirect;value_Assist;value_IntentionalAssist;value_Assisted;value_LowLeft;value_BlockedX;value_RelatedEventId;value_Blocked;value_BlockedY;value_SmallBoxCentre;value_SixYardBlocked;value_DefBlock;value_GkKickFromHands;value_DeletedEventType;value_Hands;value_ParriedSafe;value_Overrun;value_InjuredPlayerId;value_Injury;value_FlickOn;value_BoxCentre;value_Diving;value_Review;value_PenaltyTakerId;value_Penalty;value_AwaitingOfficial'SDecision;value_RefereeDelay;value_VarDelay;value_ReviewedEventId;value_VarPenaltyAwarded;value_RefereeDecisionConfirmed;value_FantasyAssistTeam;value_LowRight;value_FantasyAssistId;value_FantasyAssistedBy;value_FantasyAssistType;value_GoalShotTimestamp;value_CausingPlayer;value_GoalShotGameClock;value_Second(2Nd)OppositeRelatedEventId;value_Left;value_Scored;value_Right;value_OutSwinger;value_CornerTaken;value_ShirtPull/Holding;value_OverArm;value_KeeperThrow;value_FirstTouch;value_HighRight;value_Low;value_OutOfBoxCentre;value_Handball;value_SetPiece;value_OutOfBoxDeepRight;value_Collected;value_LowCentre;value_FastBreak;value_VarPenaltyNotAwarded;value_Minutes;value_TacticalFoul;value_YellowCard;value_PlayersCaughtOffside;value_VarGoalNotAwarded;value_TempMissed;value_EndType;value_SmallBoxLeft;value_SwitchOfPlay;value_FromCorner;value_BoxLeft;value_LeftFooted;value_HighLeft;value_Tactical;value_FormationSlot;value_DetailedPositionId;value_PositionSideId;value_LayOff;value_OtherReason;value_OtherObstacle;value_35Centre;value_Dissent;value_InSwinger;value_OwnPlayer;value_FreeKick;value_OwnShotBlocked;value_RecklessOffence;value_SecondYellow;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2903440227;1;34;16;0;0;bxlqcsb8ylen7lng9qy50eoq5;1;0,0;0,0;2026-02-22T16:07:44.315Z;2026-02-22T16:54:47Z;[{'id': 6223593217, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 6223593215, 'qualifierId': 194, 'value': '91vjxbtjn9fmsatxvncmwxyhh'}, {'id': 6223593211, 'qualifierId': 130, 'value': '4'}, {'id': 6223593213, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 6223593207, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 6223593205, 'qualifierId': 30, 'value': '91vjxbtjn9fmsatxvncmwxyhh, 9x6jbuibbl7ysh0oovghyw4id, d5i62fwuf8ohc8fcq3lxboiga, 9109wh63xe63hzaxtp78oneqy, efrr99onfcuvb2gylkvvrnl9m, dji2uqc37rl51rcpzbctps1zo, 6aodvgoc9sh27cjwelwsm3qw9, 6pe5livzmuh1e9flotqenbluy, 25zkvtyrfqnw2zyp43aqy8ne2, tfni0bbycqnutwdofnndixd6, f5c7fj7ce4uklgzn8el0c90d0, 4345hd2v8weas6rp9bw9hhd9m, 8drs7flji0ctdoui0cfyugu3u, 5bxb8ecvhvo7mt31ixelzpjis, 5axvazbhm6wsgpbpgt1gmaj11, 33nggo6w6e52yqmc2pa528xd5, 66zwbdv2kuei5zer931y93jf8, ey9xcgpxzvtoi0q973y1miuqc, 32jsd9lm9bbl6timfs6zwywpg, 877vfhy29ecju9mkl4tevlrmc'}, {'id': 6223593209, 'qualifierId': 59, 'value': '1, 17, 15, 6, 5, 4, 20, 10, 8, 9, 7, 13, 16, 19, 21, 22, 24, 30, 34, 35'}, {'id': 6223832905, 'qualifierId': 197, 'value': '3969'}];;;;;8bo8kwuy2uvdmay9yf6dq9ses;Team set up;;;4,0;;;;;3969,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bxlqcsb8ylen7lng9qy50eoq5;Sevilla;home;;;;;;;;;;0;0;0;Atlético Madrid;0;;
2903443007;1;34;16;0;0;8zt8rrm6v5nccv01v6pef0r1o;1;0,0;0,0;2026-02-22T16:11:26.122Z;2026-02-22T17:12:53Z;[{'id': 6223608649, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 6223608647, 'qualifierId': 130, 'value': '12'}, {'id': 6223608645, 'qualifierId': 59, 'value': '1, 22, 3, 11, 5, 4, 21, 6, 20, 7, 17, 13, 9, 12, 14, 16, 19, 23, 27, 41'}, {'id': 6223608641, 'qualifierId': 30, 'value': '4bcef9sqkbml7b2jtqhbz602d, 7njoaie052f065a469qkcg7is, d0i38pk78vbxoqz7x2rzz8cx6, 24dpnyyhqgnve5zzget4gz1zp, efxmnnjg8l00ns74d7nnloi22, 51t40jr0wwgmuya85pnhjgx2i, bdaicql6er9antum0eaar9x0q, 5adluw93r1tx4n3ta3wyhj7bp, ent3o8sh6zn2mpe7m9p8q1sve, 5de2lhx1gnd8ks8pmge8plb6d, dej9w2n7m9uzfb12yozvly5pm, 1bvbnq69gxx0nciovzzf6o8dm, 49klmhzbsmlxnkp2w60y66sph, 24qwx85sfxy0r8pld85w7tzze, 7vtua260sxp339ie21any0zc9, c488qzg90zf43v7fro912z9t6, 4nvfy4deuo9cmsegz492aq2g9, 2ac25gja4xuyp8xqe2uvdslqs, b0623bg2k7c2chlsz1n32qk2c, bpntu6wc1knqwt1ilgbddri8k'}, {'id': 6223608643, 'qualifierId': 44, 'value': '1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 6223825321, 'qualifierId': 197, 'value': '31017'}, {'id': 6223608653, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 6223608651, 'qualifierId': 194, 'value': '4bcef9sqkbml7b2jtqhbz602d'}];;;;;8bo8kwuy2uvdmay9yf6dq9ses;Team set up;;;12,0;;;;;31017,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8zt8rrm6v5nccv01v6pef0r1o;Atlético Madrid;away;;;;;;;;;;0;0;0;Sevilla;0;;
2903488045;2;32;1;0;0;bxlqcsb8ylen7lng9qy50eoq5;1;0,0;0,0;2026-02-22T17:00:15.535Z;2026-02-22T17:00:17Z;[{'id': 6223856761, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;8bo8kwuy2uvdmay9yf6dq9ses;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bxlqcsb8ylen7lng9qy50eoq5;Sevilla;home;;;;;;;;;;0;0;0;Atlético Madrid;0;;
2903488033;2;32;1;0;0;8zt8rrm6v5nccv01v6pef0r1o;1;0,0;0,0;2026-02-22T17:00:15.535Z;2026-02-22T17:00:15Z;[{'id': 6223856727, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;8bo8kwuy2uvdmay9yf6dq9ses;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8zt8rrm6v5nccv01v6pef0r1o;Atlético Madrid;away;;;;;;;;;;0;0;0;Sevilla;0;;
2903488081;3;1;1;0;0;8zt8rrm6v5nccv01v6pef0r1o;1;50,0;50,0;2026-02-22T17:00:15.536Z;2026-02-22T17:00:18Z;[{'id': 6223856927, 'qualifierId': 141, 'value': '41.6'}, {'id': 6223856925, 'qualifierId': 140, 'value': '30.5'}, {'id': 6223856923, 'qualifierId': 56, 'value': 'Back'}, {'id': 6223856929, 'qualifierId': 212, 'value': '21.3'}, {'id': 6223856931, 'qualifierId': 213, 'value': '3.41'}, {'id': 6223856933, 'qualifierId': 279, 'value': 'S'}];ent3o8sh6zn2mpe7m9p8q1sve;Amaiur Sarriegi;;;8bo8kwuy2uvdmay9yf6dq9ses;Pass;;;;;;;;;;41,6;30,5;;21,3;3,41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8zt8rrm6v5nccv01v6pef0r1o;Atlético Madrid;away;30,5;41,6;;;;;;;;0;0;0;Sevilla;0;FW;1,0
2903488109;4;1;1;0;3;8zt8rrm6v5nccv01v6pef0r1o;0;35,6;42,4;2026-02-22T17:00:18.872Z;2026-02-22T17:00:20Z;[{'id': 6223857059, 'qualifierId': 1}, {'id': 6223857049, 'qualifierId': 56, 'value': 'Left'}, {'id': 6223857057, 'qualifierId': 213, 'value': '0.73'}, {'id': 6223857047, 'qualifierId': 157}, {'id': 6223857053, 'qualifierId': 141, 'value': '100.0'}, {'id': 6223857051, 'qualifierId': 140, 'value': '77.9'}, {'id': 6223857055, 'qualifierId': 212, 'value': '59.8'}];bdaicql6er9antum0eaar9x0q;Fiamma Benítez;;;8bo8kwuy2uvdmay9yf6dq9ses;Pass;;;;;;;;;;100,0;77,9;;59,8;0,73;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8zt8rrm6v5nccv01v6pef0r1o;Atlético Madrid;away;77,9;100,0;;;;;;;;0;0;3;Sevilla;3;MC;1,0
2903488185;3;5;1;0;5;bxlqcsb8ylen7lng9qy50eoq5;1;22,7;-1,5;2026-02-22T17:00:20.763Z;2026-02-22T18:01:16Z;[{'id': 6223857595, 'qualifierId': 233, 'value': '5'}, {'id': 6223857555, 'qualifierId': 347}, {'id': 6223857553, 'qualifierId': 56, 'value': 'Back'}];25zkvtyrfqnw2zyp43aqy8ne2;A. Álvarez;;;8bo8kwuy2uvdmay9yf6dq9ses;Out;;;;;;;;;;;;;;;;;;5,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bxlqcsb8ylen7lng9qy50eoq5;Sevilla;home;;;;;;;;;;0;0;5;Atlético Madrid;5;FW;1,0
2903488117;5;5;1;0;5;8zt8rrm6v5nccv01v6pef0r1o;0;77,3;101,5;2026-02-22T17:00:20.763Z;2026-02-22T18:01:16Z;[{'id': 6223857089, 'qualifierId': 347}, {'id': 6223857621, 'qualifierId': 233, 'value': '3'}, {'id': 6223857087, 'qualifierId': 56, 'value': 'Left'}];bdaicql6er9antum0eaar9x0q;Fiamma Benítez;;;8bo8kwuy2uvdmay9yf6dq9ses;Out;;;;;;;;;;;;;;;;;;3,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8zt8rrm6v5nccv01v6pef0r1o;Atlético Madrid;away;;;;;;;;;;0;0;5;Sevilla;5;MC;1,0
2903488209;4;1;1;0;15;bxlqcsb8ylen7lng9qy50eoq5;0;24,7;0,0;2026-02-22T17:00:30.696Z;2026-02-22T17:00:33Z;[{'id': 6223857691, 'qualifierId': 141, 'value': '5.2'}, {'id': 6223857695, 'qualifierId': 213, 'value': '0.30'}, {'id': 6223857693, 'qualifierId': 212, 'value': '16.1'}, {'id': 6223857689, 'qualifierId': 140, 'value': '39.4'}, {'id': 6223857685, 'qualifierId': 107}, {'id': 6223857687, 'qualifierId': 56, 'value': 'Back'}];9x6jbuibbl7ysh0oovghyw4id;Débora García;;;8bo8kwuy2uvdmay9yf6dq9ses;Pass;;;;;;;;;;5,2;39,4;;16,1;0,3;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bxlqcsb8ylen7lng9qy50eoq5;Sevilla;home;39,4;5,2;;;;;;;;0;0;15;Atlético Madrid;15;DR;1,0
2903488221;6;61;1;0;18;8zt8rrm6v5nccv01v6pef0r1o;1;55,1;92,0;2026-02-22T17:00:34.131Z;2026-02-22T17:00:42Z;[{'id': 6223857763, 'qualifierId': 56, 'value': 'Left'}];d0i38pk78vbxoqz7x2rzz8cx6;Andrea Medina;;;8bo8kwuy2uvdmay9yf6dq9ses;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8zt8rrm6v5nccv01v6pef0r1o;Atlético Madrid;away;;;;;;;;;;0;0;18;Sevilla;18;DML;1,0
2903488361;5;5;1;0;18;bxlqcsb8ylen7lng9qy50eoq5;1;41,5;-1,7;2026-02-22T17:00:34.253Z;2026-02-22T18:01:17Z;[{'id': 6223858609, 'qualifierId': 233, 'value': '7'}, {'id': 6223858589, 'qualifierId': 347}, {'id': 6223858587, 'qualifierId': 56, 'value': 'Back'}];9x6jbuibbl7ysh0oovghyw4id;Débora García;;;8bo8kwuy2uvdmay9yf6dq9ses;Out;;;;;;;;;;;;;;;;;;7,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bxlqcsb8ylen7lng9qy50eoq5;Sevilla;home;;;;;;;;;;0;0;18;Atlético Madrid;18;DR;1,0
2903488235;7;5;1;0;18;8zt8rrm6v5nccv01v6pef0r1o;0;58,5;101,7;2026-02-22T17:00:34.253Z;2026-02-22T18:01:17Z;[{'id': 6223857825, 'qualifierId': 56, 'value': 'Left'}, {'id': 6223858649, 'qualifierId': 233, 'value': '5'}, {'id': 6223857827, 'qualifierId': 347}];d0i38pk78vbxoqz7x2rzz8cx6;Andrea Medina;;;8bo8kwuy2uvdmay9yf6dq9ses;Out;;;;;;;;;;;;;;;;;;5,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8zt8rrm6v5nccv01v6pef0r1o;Atlético Madrid;away;;;;;;;;;;0;0;18;Sevilla;18;DML;1,0
2903488383;6;1;1;0;31;bxlqcsb8ylen7lng9qy50eoq5;0;44,9;0,0;2026-02-22T17:00:46.610Z;2026-02-22T17:00:48Z;[{'id': 6223858713, 'qualifierId': 107}, {'id': 6223858715, 'qualifierId': 56, 'value': 'Right'}, {'id': 6223858717, 'qualifierId': 140, 'value': '79.4'}, {'id': 6223858719, 'qualifierId': 141, 'value': '6.2'}, {'id': 6223858723, 'qualifierId': 213, 'value': '0.14'}, {'id': 6223858721, 'qualifierId': 212, 'value': '36.6'}, {'id': 6223858725, 'qualifierId': 1}];9x6jbuibbl7ysh0oovghyw4id;Débora García;;;8bo8kwuy2uvdmay9yf6dq9ses;Pass;;;;;;;;;;6,2;79,4;;36,6;0,14;;1,0;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bxlqcsb8ylen7lng9qy50eoq5;Sevilla;home;79,4;6,2;;;;;;;;0;0;31;Atlético Madrid;31;DR;1,0
2903488533;11;44;1;0;34;8zt8rrm6v5nccv01v6pef0r1o;1;20,6;93,8;2026-02-22T17:00:50.090Z;2026-02-22T18:01:45Z;[{'id': 6223859705, 'qualifierId': 233, 'value': '7'}, {'id': 6223859437, 'qualifierId': 56, 'value': 'Back'}, {'id': 6223859439, 'qualifierId': 285}];dej9w2n7m9uzfb12yozvly5pm;Júlia Bartel;;;8bo8kwuy2uvdmay9yf6dq9ses;Aerial;;;;;;;;;;;;;;;;;;7,0;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8zt8rrm6v5nccv01v6pef0r1o;Atlético Madrid;away;;;;;;;;;;0;0;34;Sevilla;34;AMC;1,0
2903488409;7;44;1;0;34;bxlqcsb8ylen7lng9qy50eoq5;0;79,4;6,2;2026-02-22T17:00:50.091Z;2026-02-22T18:01:45Z;[{'id': 6223858849, 'qualifierId': 286}, {'id': 6223858847, 'qualifierId': 56, 'value': 'Right'}, {'id': 6223859737, 'qualifierId': 233, 'value': '11'}];6pe5livzmuh1e9flotqenbluy;M. Cortés;;;8bo8kwuy2uvdmay9yf6dq9ses;Aerial;;;;;;;;;;;;;;;;;;11,0;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bxlqcsb8ylen7lng9qy50eoq5;Sevilla;home;;;;;;;;;;0;0;34;Atlético Madrid;34;MC;1,0
2903488567;12;1;1;0;34;8zt8rrm6v5nccv01v6pef0r1o;0;20,6;93,8;2026-02-22T17:00:50.151Z;2026-02-22T18:01:45Z;[{'id': 6223859629, 'qualifierId': 212, 'value': '17.3'}, {'id': 6223859631, 'qualifierId': 213, 'value': '5.95'}, {'id': 6223859623, 'qualifierId': 56, 'value': 'Back'}, {'id': 6223859621, 'qualifierId': 3}, {'id': 6223859625, 'qualifierId': 140, 'value': '36.2'}, {'id': 6223859627, 'qualifierId': 141, 'value': '85.4'}];dej9w2n7m9uzfb12yozvly5pm;Júlia Bartel;;;8bo8kwuy2uvdmay9yf6dq9ses;Pass;;;;;;;;;;85,4;36,2;;17,3;5,95;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8zt8rrm6v5nccv01v6pef0r1o;Atlético Madrid;away;36,2;85,4;;;;;;;;0;0;34;Sevilla;34;AMC;1,0
2903488415;8;8;1;0;35;8zt8rrm6v5nccv01v6pef0r1o;1;26,4;91,8;2026-02-22T17:00:50.711Z;2026-02-22T17:00:52Z;[{'id': 6223858891, 'qualifierId': 15}, {'id': 6223858861, 'qualifierId': 56, 'value': 'Back'}];24dpnyyhqgnve5zzget4gz1zp;Carmen Menayo;;;8bo8kwuy2uvdmay9yf6dq9ses;Interception;;;;;;;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8zt8rrm6v5nccv01v6pef0r1o;Atlético Madrid;away;;;;;;;;;;0;0;35;Sevilla;35;DC;1,0
2903488469;9;61;1;0;38;8zt8rrm6v5nccv01v6pef0r1o;0;32,2;93,2;2026-02-22T17:00:53.959Z;2026-02-22T17:00:54Z;[{'id': 6223859103, 'qualifierId': 56, 'value': 'Back'}];d0i38pk78vbxoqz7x2rzz8cx6;Andrea Medina;;;8bo8kwuy2uvdmay9yf6dq9ses;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8zt8rrm6v5nccv01v6pef0r1o;Atlético Madrid;away;;;;;;;;;;0;0;38;Sevilla;38;DML;1,0
2903488587;8;5;1;0;39;bxlqcsb8ylen7lng9qy50eoq5;1;57,3;-1,4;2026-02-22T17:00:55.121Z;2026-02-22T18:01:18Z;[{'id': 6223859745, 'qualifierId': 347}, {'id': 6223859743, 'qualifierId': 56, 'value': 'Right'}, {'id': 6223859775, 'qualifierId': 233, 'value': '10'}];6pe5livzmuh1e9flotqenbluy;M. Cortés;;;8bo8kwuy2uvdmay9yf6dq9ses;Out;;;;;;;;;;;;;;;;;;10,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bxlqcsb8ylen7lng9qy50eoq5;Sevilla;home;;;;;;;;;;0;0;39;Atlético Madrid;39;MC;1,0
2903488495;10;5;1;0;39;8zt8rrm6v5nccv01v6pef0r1o;0;42,7;101,4;2026-02-22T17:00:55.121Z;2026-02-22T18:01:19Z;[{'id': 6223859209, 'qualifierId': 347}, {'id': 6223859207, 'qualifierId': 56, 'value': 'Back'}, {'id': 6223859795, 'qualifierId': 233, 'value': '8'}];d0i38pk78vbxoqz7x2rzz8cx6;Andrea Medina;;;8bo8kwuy2uvdmay9yf6dq9ses;Out;;;;;;;;;;;;;;;;;;8,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8zt8rrm6v5nccv01v6pef0r1o;Atlético Madrid;away;;;;;;;;;;0;0;39;Sevilla;39;DML;1,0
2903488653;9;1;1;0;46;bxlqcsb8ylen7lng9qy50eoq5;1;52,2;0,0;2026-02-22T17:01:01.986Z;2026-02-22T17:01:06Z;[{'id': 6223860047, 'qualifierId': 212, 'value': '29.9'}, {'id': 6223860043, 'qualifierId': 140, 'value': '79.9'}, {'id': 6223860041, 'qualifierId': 56, 'value': 'Right'}, {'id': 6223860045, 'qualifierId': 141, 'value': '8.3'}, {'id': 6223860049, 'qualifierId': 213, 'value': '0.24'}, {'id': 6223860039, 'qualifierId': 107}, {'id': 6223860051, 'qualifierId': 1}];9x6jbuibbl7ysh0oovghyw4id;Débora García;;;8bo8kwuy2uvdmay9yf6dq9ses;Pass;;;;;;;;;;8,3;79,9;;29,9;0,24;;1,0;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bxlqcsb8ylen7lng9qy50eoq5;Sevilla;home;79,9;8,3;;;;;;;;0;0;46;Atlético Madrid;46;DR;1,0
2903488659;10;61;1;0;51;bxlqcsb8ylen7lng9qy50eoq5;1;82,3;10,3;2026-02-22T17:01:06.809Z;2026-02-22T17:01:07Z;[{'id': 6223860081, 'qualifierId': 56, 'value': 'Right'}];tfni0bbycqnutwdofnndixd6;Fatou Kanteh;;;8bo8kwuy2uvdmay9yf6dq9ses;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bxlqcsb8ylen7lng9qy50eoq5;Sevilla;home;;;;;;;;;;0;0;51;Atlético Madrid;51;FWR;1,0
2903488683;13;4;1;0;53;8zt8rrm6v5nccv01v6pef0r1o;1;23,0;84,8;2026-02-22T17:01:09.136Z;2026-02-22T17:22:52Z;[{'id': 6223860319, 'qualifierId': 13}, {'id': 6223860359, 'qualifierId': 233, 'value': '11'}, {'id': 6223860327, 'qualifierId': 285}, {'id': 6223860323, 'qualifierId': 56, 'value': 'Back'}, {'id': 6223860325, 'qualifierId': 152}, {'id': 6223860321, 'qualifierId': 294}];d0i38pk78vbxoqz7x2rzz8cx6;Andrea Medina;;;8bo8kwuy2uvdmay9yf6dq9ses;Foul;;;;;;;;;;;;;;;;;;11,0;;;1,0;;;;1,0;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8zt8rrm6v5nccv01v6pef0r1o;Atlético Madrid;away;;;;;;;;;;0;0;53;Sevilla;53;DML;1,0
