id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamKit;value_Involved;value_Resume;value_TeamPlayerFormation;value_PlayerPosition;value_Captain;value_TeamFormation;value_JerseyNumber;value_DirectionOfPlay;value_Zone;value_PassEndY;value_Angle;value_PassEndX;value_Length;value_KickOff;value_Launch;value_LongBall;value_HeadPass;value_OppositeRelatedEventId;value_BlockedPass;value_Offensive;value_Defensive;value_NextEventThrowIn;value_ThrowIn;value_IntendedTackleTarget;value_Chipped;value_OutOfPlay;value_Assist;value_GoalmouthY;value_GkX;value_RightFooted;value_RelatedEventId;value_IndividualPlay;value_RegularPlay;value_Assisted;value_GkY;value_OutOfBoxCentre;value_GoalmouthZ;value_HighRight;value_NextEventGoalKick;value_High;value_GoalKick;value_Foul;value_Review;value_Direct;value_AttemptedTackle;value_DeletedEventType;value_Standing;value_PreReviewEventType;value_VarDelay;value_AwaitingOfficial'SDecision;value_RefereeDelay;value_ReviewedEventId;value_Var(Red)CardUpgrade;value_RefereeDecisionCancelled;value_RedCard;value_SeriousFoul;value_FreeKickTaken;value_Injury;value_InjuredPlayerId;value_PositionSideId;value_FormationSlot;value_DetailedPositionId;value_NotVisible;value_Cross;value_BlockedCross;value_Left;value_Right;value_CornerTaken;value_InSwinger;value_Head;value_LayOff;value_PlayersCaughtOffside;value_Indirect;value_PullBack;value_FlickOn;value_IntentionalAssist;value_BoxCentre;value_FirstTouch;value_GkKickFromHands;value_LeadingToAttempt;value_LowCentre;value_RelatedError1Id;value_BlockedX;value_NotAssisted;value_BigChance;value_BlockedY;value_LeftFooted;value_Hands;value_ParriedSafe;value_Overrun;value_LowLeft;value_Blocked;value_DefBlock;value_Low;value_LowRight;value_ThroughBall;value_HighClaim;value_KeeperThrow;value_OverArm;value_TacticalFoul;value_YellowCard;value_SetPiece;value_Minutes;value_EndType;value_Tap;value_GoalShotGameClock;value_FollowsADribble;value_GoalShotTimestamp;value_VarGoalAwarded;value_RefereeDecisionConfirmed;value_NotPastGoalLine;value_BoxLeft;value_SmallBoxCentre;value_CloseRight;value_Tactical;value_HighCentre;value_FromCorner;value_FantasyAssistedBy;value_FantasyAssistType;value_Volley;value_FantasyAssistTeam;value_FantasyAssistId;value_ShirtPull/Holding;value_Shove/Push;value_CloseLeft;value_Handball;value_FairPlay;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2903205159;1;34;16;0;0;215mjv43m1cuncum9o4189mhg;1;0,0;0,0;2026-02-22T10:13:43.515Z;2026-02-22T10:56:02Z;[{'id': 6222324725, 'qualifierId': 197, 'value': '32077'}, {'id': 6222284351, 'qualifierId': 30, 'value': 'eurxmqgiqw2hlsu8x0of9to7p, 8vwiezkux2gxs99ziy7x69fu2, 4ngzyppqh4iaqqy0vrynwz66s, 42t82kh0hqfa7h92x1ujdz97u, 7tpm4wyv287cic1xcl1gl47x0, 9163edyiljpd18plos0eb2j8p, 4wq471cuusdudbev0bhruq4bu, 5ql8n3lw656v4i4wk74cselm1, xe4xwqsd55oifhmj8azc8oic, 80bmdjixjy34wx3e5fb8re961, 3rob14yal0zrzxj2tdpp4sewa, 8jok7wopda70yus7gj5qwi1nt, 9pwqzaeaplgqjpkulxse5iwkq, 4kqwr8xb2ydw2v32thgb5sk5w, aj0l2zn1av33p8us4tc19eplg, eno0e1nmkn4ts5yy103k7inzd, 470znxtt0sf52aav1o8s1hkdm, 982xo55a6ehu6960fxwr3bfje'}, {'id': 6222284363, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 6222284359, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0'}, {'id': 6222284353, 'qualifierId': 44, 'value': '1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5'}, {'id': 6222284361, 'qualifierId': 194, 'value': '42t82kh0hqfa7h92x1ujdz97u'}, {'id': 6222284357, 'qualifierId': 130, 'value': '11'}, {'id': 6222284355, 'qualifierId': 59, 'value': '13, 18, 8, 22, 4, 3, 11, 5, 19, 14, 6, 1, 7, 15, 24, 2, 12, 16'}];;;;;8agzaoxboug1td3uvjrg6obh0;Team set up;32077,0;;;;;;11,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;215mjv43m1cuncum9o4189mhg;Tenerife;away;;;;;;;;;0;0;0;0;Real Madrid;0;;
2903205441;1;34;16;0;0;vaikl8nl7hdr4y9jj4jyb9ey;1;0,0;0,0;2026-02-22T10:16:56.492Z;2026-02-22T10:30:02Z;[{'id': 6222286357, 'qualifierId': 130, 'value': '4'}, {'id': 6222286355, 'qualifierId': 59, 'value': '1, 19, 21, 6, 14, 23, 16, 8, 20, 7, 18, 13, 4, 10, 12, 17, 28, 2, 5, 11, 15, 22, 43'}, {'id': 6222286353, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 6222286361, 'qualifierId': 194, 'value': '6h41rdmhfs08723t23zgi5vjd'}, {'id': 6222293543, 'qualifierId': 197, 'value': '8978'}, {'id': 6222286359, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 6222286351, 'qualifierId': 30, 'value': '6h41rdmhfs08723t23zgi5vjd, 1tusdkqm6v4khzekbrp2jfnqh, 24i5v2hlbeen8brcaa79oqjft, 7l3val0z7xwpaptf5ebgimnyt, zuec10u63781iv5rojm31yzu, 757os3ykn2cuocj7tr4dqnw89, 3ddo1m631pf9ruzzpaujs9gph, 407696aey55f3v0iy9xcr9plh, 79gb1aba3b9e3bht7frq0lqp6, 4trjsb4uoasjj3jwr77rh0k16, 1xs185h82mmyp8z86s1f6jucq, 3loe8qn8nalk7liisl2hx891x, 245eszqeqx2xeair8h5n4z8b9, dgkmt7f5k9oqruxzsi3x9em6t, dpo0v7rvuxdty6s9y2j5mh39x, 9x4qkir5sofsdi6jf3qdnvgx6, 275mx4vdujpyfdk5sx7iog3kk, e7e86fnm9fyy937yep9pocbft, 3d5z6d353m69jb2dsiobz2eqc, eu6nudazhvggen5s7abc46bpx, 20nehty0pfzlg8wj60l87taeh, 82ihvy2vaqdadxhep114sfuvo, b9vno12qiiv2k7vmpemuqsjys'}, {'id': 6222286363, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}];;;;;8agzaoxboug1td3uvjrg6obh0;Team set up;8978,0;;;;;;4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;vaikl8nl7hdr4y9jj4jyb9ey;Real Madrid;home;;;;;;;;;0;0;0;0;Tenerife;0;;
2903213237;2;32;1;0;0;vaikl8nl7hdr4y9jj4jyb9ey;1;0,0;0,0;2026-02-22T11:00:26.190Z;2026-02-22T11:00:26Z;[{'id': 6222330463, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;8agzaoxboug1td3uvjrg6obh0;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;vaikl8nl7hdr4y9jj4jyb9ey;Real Madrid;home;;;;;;;;;0;0;0;0;Tenerife;0;;
2903213241;2;32;1;0;0;215mjv43m1cuncum9o4189mhg;1;0,0;0,0;2026-02-22T11:00:26.190Z;2026-02-22T11:00:27Z;[{'id': 6222330479, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;8agzaoxboug1td3uvjrg6obh0;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;215mjv43m1cuncum9o4189mhg;Tenerife;away;;;;;;;;;0;0;0;0;Real Madrid;0;;
2903213263;3;1;1;0;0;215mjv43m1cuncum9o4189mhg;1;50,0;50,0;2026-02-22T11:00:26.191Z;2026-02-22T11:54:32Z;[{'id': 6222330605, 'qualifierId': 56, 'value': 'Back'}, {'id': 6222330609, 'qualifierId': 141, 'value': '63.0'}, {'id': 6222330613, 'qualifierId': 213, 'value': '2.65'}, {'id': 6222330607, 'qualifierId': 140, 'value': '34.3'}, {'id': 6222330611, 'qualifierId': 212, 'value': '18.7'}, {'id': 6222330615, 'qualifierId': 279, 'value': 'S'}];3rob14yal0zrzxj2tdpp4sewa;Paola Hernández;;;8agzaoxboug1td3uvjrg6obh0;Pass;;;;;;;;;;;63,0;2,65;34,3;18,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;215mjv43m1cuncum9o4189mhg;Tenerife;away;34,3;63,0;;;;;;;0;0;0;0;Real Madrid;0;ML;1,0
2903213269;4;1;1;0;2;215mjv43m1cuncum9o4189mhg;0;34,3;63,0;2026-02-22T11:00:28.973Z;2026-02-22T11:54:35Z;[{'id': 6222330653, 'qualifierId': 56, 'value': 'Center'}, {'id': 6222330661, 'qualifierId': 213, 'value': '5.71'}, {'id': 6222330651, 'qualifierId': 157}, {'id': 6222330663, 'qualifierId': 1}, {'id': 6222330657, 'qualifierId': 141, 'value': '32.4'}, {'id': 6222330659, 'qualifierId': 212, 'value': '38.5'}, {'id': 6222330655, 'qualifierId': 140, 'value': '65.1'}];42t82kh0hqfa7h92x1ujdz97u;Patri Gavira;;;8agzaoxboug1td3uvjrg6obh0;Pass;;;;;;;;;;;32,4;5,71;65,1;38,5;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;215mjv43m1cuncum9o4189mhg;Tenerife;away;65,1;32,4;;;;;;;0;0;0;2;Real Madrid;2;DC;1,0
2903213315;3;1;1;0;3;vaikl8nl7hdr4y9jj4jyb9ey;1;26,6;71,8;2026-02-22T11:00:29.919Z;2026-02-22T11:00:36Z;[{'id': 6222330887, 'qualifierId': 141, 'value': '78.1'}, {'id': 6222330889, 'qualifierId': 212, 'value': '14.4'}, {'id': 6222330885, 'qualifierId': 140, 'value': '39.7'}, {'id': 6222330883, 'qualifierId': 56, 'value': 'Back'}, {'id': 6222330881, 'qualifierId': 3}, {'id': 6222330891, 'qualifierId': 213, 'value': '0.30'}];757os3ykn2cuocj7tr4dqnw89;M. Lakrar;;;8agzaoxboug1td3uvjrg6obh0;Pass;;;;;;;;;;;78,1;0,3;39,7;14,4;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;vaikl8nl7hdr4y9jj4jyb9ey;Real Madrid;home;39,7;78,1;;;;;;;0;0;0;3;Tenerife;3;DC;1,0
2903213319;4;49;1;0;10;vaikl8nl7hdr4y9jj4jyb9ey;1;33,7;88,1;2026-02-22T11:00:36.270Z;2026-02-22T11:00:36Z;[];1xs185h82mmyp8z86s1f6jucq;L. Caicedo;;;8agzaoxboug1td3uvjrg6obh0;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;vaikl8nl7hdr4y9jj4jyb9ey;Real Madrid;home;;;;;;;;;0;0;0;10;Tenerife;10;FWL;1,0
2903213323;5;1;1;0;10;vaikl8nl7hdr4y9jj4jyb9ey;0;34,4;88,1;2026-02-22T11:00:36.455Z;2026-02-22T11:00:37Z;[{'id': 6222330917, 'qualifierId': 56, 'value': 'Back'}, {'id': 6222330923, 'qualifierId': 212, 'value': '3.5'}, {'id': 6222330939, 'qualifierId': 233, 'value': '5'}, {'id': 6222330925, 'qualifierId': 213, 'value': '3.14'}, {'id': 6222330937, 'qualifierId': 236}, {'id': 6222330921, 'qualifierId': 141, 'value': '88.1'}, {'id': 6222330943, 'qualifierId': 286}, {'id': 6222330919, 'qualifierId': 140, 'value': '31.1'}];1xs185h82mmyp8z86s1f6jucq;L. Caicedo;;;8agzaoxboug1td3uvjrg6obh0;Pass;;;;;;;;;;;88,1;3,14;31,1;3,5;;;;;5,0;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;vaikl8nl7hdr4y9jj4jyb9ey;Real Madrid;home;31,1;88,1;;;;;;;0;0;0;10;Tenerife;10;FWL;1,0
2903213325;5;74;1;0;10;215mjv43m1cuncum9o4189mhg;1;68,9;11,9;2026-02-22T11:00:36.456Z;2026-02-22T13:01:36Z;[{'id': 6222330929, 'qualifierId': 285}, {'id': 6222330927, 'qualifierId': 56, 'value': 'Right'}, {'id': 6222330955, 'qualifierId': 233, 'value': '5'}];xe4xwqsd55oifhmj8azc8oic;Iratxe Pérez;;;8agzaoxboug1td3uvjrg6obh0;Blocked Pass;;;;;;;;;;;;;;;;;;;5,0;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;215mjv43m1cuncum9o4189mhg;Tenerife;away;;;;;;;;;0;0;0;10;Real Madrid;10;FW;1,0
2903213365;6;5;1;0;11;vaikl8nl7hdr4y9jj4jyb9ey;1;32,8;101,6;2026-02-22T11:00:37.975Z;2026-02-22T13:00:05Z;[{'id': 6222331145, 'qualifierId': 56, 'value': 'Back'}, {'id': 6222331147, 'qualifierId': 347}, {'id': 6222331183, 'qualifierId': 233, 'value': '6'}];1xs185h82mmyp8z86s1f6jucq;L. Caicedo;;;8agzaoxboug1td3uvjrg6obh0;Out;;;;;;;;;;;;;;;;;;;6,0;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;vaikl8nl7hdr4y9jj4jyb9ey;Real Madrid;home;;;;;;;;;0;0;0;11;Tenerife;11;FWL;1,0
2903213335;6;5;1;0;11;215mjv43m1cuncum9o4189mhg;0;67,2;-1,6;2026-02-22T11:00:37.975Z;2026-02-22T13:00:06Z;[{'id': 6222331193, 'qualifierId': 233, 'value': '6'}, {'id': 6222330993, 'qualifierId': 347}, {'id': 6222330991, 'qualifierId': 56, 'value': 'Right'}];80bmdjixjy34wx3e5fb8re961;Natalia Ramos;;;8agzaoxboug1td3uvjrg6obh0;Out;;;;;;;;;;;;;;;;;;;6,0;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;215mjv43m1cuncum9o4189mhg;Tenerife;away;;;;;;;;;0;0;0;11;Real Madrid;11;MC;1,0
2903213409;7;1;1;0;17;vaikl8nl7hdr4y9jj4jyb9ey;1;28,1;100,0;2026-02-22T11:00:43.863Z;2026-02-22T11:00:51Z;[{'id': 6222331429, 'qualifierId': 213, 'value': '3.44'}, {'id': 6222331419, 'qualifierId': 107}, {'id': 6222331421, 'qualifierId': 56, 'value': 'Back'}, {'id': 6222331427, 'qualifierId': 212, 'value': '24.8'}, {'id': 6222331425, 'qualifierId': 141, 'value': '90.5'}, {'id': 6222331431, 'qualifierId': 1}, {'id': 6222331423, 'qualifierId': 140, 'value': '5.5'}];24i5v2hlbeen8brcaa79oqjft;S. Holmgaard;;;8agzaoxboug1td3uvjrg6obh0;Pass;;;;;;;;;;;90,5;3,44;5,5;24,8;;;1,0;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;vaikl8nl7hdr4y9jj4jyb9ey;Real Madrid;home;5,5;90,5;;;;;;;0;0;0;17;Tenerife;17;DC;1,0
2903213403;7;83;1;0;23;215mjv43m1cuncum9o4189mhg;0;91,7;19,4;2026-02-22T11:00:49.941Z;2026-02-22T11:00:53Z;[{'id': 6222331489, 'qualifierId': 399, 'value': '757os3ykn2cuocj7tr4dqnw89'}];xe4xwqsd55oifhmj8azc8oic;Iratxe Pérez;;;8agzaoxboug1td3uvjrg6obh0;Attempted tackle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;215mjv43m1cuncum9o4189mhg;Tenerife;away;;;;;;;;;0;0;0;23;Real Madrid;23;FW;1,0
2903213411;8;1;1;0;25;vaikl8nl7hdr4y9jj4jyb9ey;1;6,8;89,0;2026-02-22T11:00:51.247Z;2026-02-22T11:00:52Z;[{'id': 6222331437, 'qualifierId': 140, 'value': '15.1'}, {'id': 6222331441, 'qualifierId': 212, 'value': '8.9'}, {'id': 6222331439, 'qualifierId': 141, 'value': '91.5'}, {'id': 6222331435, 'qualifierId': 56, 'value': 'Back'}, {'id': 6222331443, 'qualifierId': 213, 'value': '0.19'}];757os3ykn2cuocj7tr4dqnw89;M. Lakrar;;;8agzaoxboug1td3uvjrg6obh0;Pass;;;;;;;;;;;91,5;0,19;15,1;8,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;vaikl8nl7hdr4y9jj4jyb9ey;Real Madrid;home;15,1;91,5;;;;;;;0;0;0;25;Tenerife;25;DC;1,0
2903213417;9;1;1;0;25;vaikl8nl7hdr4y9jj4jyb9ey;1;15,1;91,5;2026-02-22T11:00:51.887Z;2026-02-22T11:00:52Z;[{'id': 6222331477, 'qualifierId': 212, 'value': '8.7'}, {'id': 6222331479, 'qualifierId': 213, 'value': '2.95'}, {'id': 6222331475, 'qualifierId': 141, 'value': '93.9'}, {'id': 6222331473, 'qualifierId': 140, 'value': '7.0'}, {'id': 6222331471, 'qualifierId': 56, 'value': 'Back'}];24i5v2hlbeen8brcaa79oqjft;S. Holmgaard;;;8agzaoxboug1td3uvjrg6obh0;Pass;;;;;;;;;;;93,9;2,95;7,0;8,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;vaikl8nl7hdr4y9jj4jyb9ey;Real Madrid;home;7,0;93,9;;;;;;;0;0;0;25;Tenerife;25;DC;1,0
2903213419;10;1;1;0;28;vaikl8nl7hdr4y9jj4jyb9ey;0;22,1;91,2;2026-02-22T11:00:54.264Z;2026-02-22T11:00:54Z;[{'id': 6222331499, 'qualifierId': 141, 'value': '83.3'}, {'id': 6222331501, 'qualifierId': 212, 'value': '10.2'}, {'id': 6222331495, 'qualifierId': 56, 'value': 'Back'}, {'id': 6222331503, 'qualifierId': 213, 'value': '5.73'}, {'id': 6222331497, 'qualifierId': 140, 'value': '30.4'}];757os3ykn2cuocj7tr4dqnw89;M. Lakrar;;;8agzaoxboug1td3uvjrg6obh0;Pass;;;;;;;;;;;83,3;5,73;30,4;10,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;vaikl8nl7hdr4y9jj4jyb9ey;Real Madrid;home;30,4;83,3;;;;;;;0;0;0;28;Tenerife;28;DC;1,0
2903213435;8;8;1;0;29;215mjv43m1cuncum9o4189mhg;1;54,4;8,5;2026-02-22T11:00:55.725Z;2026-02-22T11:55:27Z;[{'id': 6222331587, 'qualifierId': 56, 'value': 'Right'}];5ql8n3lw656v4i4wk74cselm1;Y. Moreno;;;8agzaoxboug1td3uvjrg6obh0;Interception;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;215mjv43m1cuncum9o4189mhg;Tenerife;away;;;;;;;;;0;0;0;29;Real Madrid;29;MC;1,0
2903213443;9;61;1;0;30;215mjv43m1cuncum9o4189mhg;1;57,0;4,7;2026-02-22T11:00:57.181Z;2026-02-22T11:01:05Z;[{'id': 6222331637, 'qualifierId': 56, 'value': 'Right'}];4wq471cuusdudbev0bhruq4bu;A. Zaremba;;;8agzaoxboug1td3uvjrg6obh0;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;215mjv43m1cuncum9o4189mhg;Tenerife;away;;;;;;;;;0;0;0;30;Real Madrid;30;MR;1,0
2903213459;10;61;1;0;31;215mjv43m1cuncum9o4189mhg;0;62,7;5,2;2026-02-22T11:00:57.823Z;2026-02-22T11:01:06Z;[{'id': 6222331727, 'qualifierId': 56, 'value': 'Right'}];8vwiezkux2gxs99ziy7x69fu2;Elba Vergés;;;8agzaoxboug1td3uvjrg6obh0;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;215mjv43m1cuncum9o4189mhg;Tenerife;away;;;;;;;;;0;0;0;31;Real Madrid;31;DR;1,0
2903213523;11;5;1;0;31;vaikl8nl7hdr4y9jj4jyb9ey;1;31,4;101,1;2026-02-22T11:00:58.150Z;2026-02-22T13:00:06Z;[{'id': 6222332103, 'qualifierId': 56, 'value': 'Back'}, {'id': 6222332107, 'qualifierId': 233, 'value': '11'}, {'id': 6222332105, 'qualifierId': 347}];757os3ykn2cuocj7tr4dqnw89;M. Lakrar;;;8agzaoxboug1td3uvjrg6obh0;Out;;;;;;;;;;;;;;;;;;;11,0;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;vaikl8nl7hdr4y9jj4jyb9ey;Real Madrid;home;;;;;;;;;0;0;0;31;Tenerife;31;DC;1,0
2903213467;11;5;1;0;31;215mjv43m1cuncum9o4189mhg;0;68,6;-1,1;2026-02-22T11:00:58.150Z;2026-02-22T13:00:06Z;[{'id': 6222331765, 'qualifierId': 347}, {'id': 6222331763, 'qualifierId': 56, 'value': 'Right'}, {'id': 6222332123, 'qualifierId': 233, 'value': '11'}];8vwiezkux2gxs99ziy7x69fu2;Elba Vergés;;;8agzaoxboug1td3uvjrg6obh0;Out;;;;;;;;;;;;;;;;;;;11,0;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;215mjv43m1cuncum9o4189mhg;Tenerife;away;;;;;;;;;0;0;0;31;Real Madrid;31;DR;1,0
2903213531;12;1;1;0;44;vaikl8nl7hdr4y9jj4jyb9ey;0;34,3;100,0;2026-02-22T11:01:11.087Z;2026-02-22T12:02:38Z;[{'id': 6222332159, 'qualifierId': 141, 'value': '84.8'}, {'id': 6222332155, 'qualifierId': 56, 'value': 'Back'}, {'id': 6222332157, 'qualifierId': 140, 'value': '43.3'}, {'id': 6222332163, 'qualifierId': 213, 'value': '5.43'}, {'id': 6222332153, 'qualifierId': 107}, {'id': 6222332161, 'qualifierId': 212, 'value': '14.4'}];24i5v2hlbeen8brcaa79oqjft;S. Holmgaard;;;8agzaoxboug1td3uvjrg6obh0;Pass;;;;;;;;;;;84,8;5,43;43,3;14,4;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;vaikl8nl7hdr4y9jj4jyb9ey;Real Madrid;home;43,3;84,8;;;;;;;0;0;0;44;Tenerife;44;DC;1,0
2903213537;12;8;1;0;47;215mjv43m1cuncum9o4189mhg;1;66,4;27,9;2026-02-22T11:01:13.934Z;2026-02-22T11:01:14Z;[{'id': 6222332193, 'qualifierId': 56, 'value': 'Center'}];9163edyiljpd18plos0eb2j8p;Cinta Rodríguez;;;8agzaoxboug1td3uvjrg6obh0;Interception;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;215mjv43m1cuncum9o4189mhg;Tenerife;away;;;;;;;;;0;0;0;47;Real Madrid;47;DC;1,0
2903213539;13;49;1;0;48;215mjv43m1cuncum9o4189mhg;1;66,4;27,9;2026-02-22T11:01:14.317Z;2026-02-22T11:01:14Z;[];9163edyiljpd18plos0eb2j8p;Cinta Rodríguez;;;8agzaoxboug1td3uvjrg6obh0;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;215mjv43m1cuncum9o4189mhg;Tenerife;away;;;;;;;;;0;0;0;48;Real Madrid;48;DC;1,0
